,trade_day
972,20090106
973,20090107
974,20090108
975,20090109
976,20090112
977,20090113
978,20090114
979,20090115
980,20090116
981,20090119
982,20090120
983,20090121
984,20090122
985,20090123
986,20090202
987,20090203
988,20090204
989,20090205
990,20090206
991,20090209
992,20090210
993,20090211
994,20090212
995,20090213
996,20090216
997,20090217
998,20090218
999,20090219
1000,20090220
1001,20090223
1002,20090224
1003,20090225
1004,20090226
1005,20090227
1006,20090302
1007,20090303
1008,20090304
1009,20090305
1010,20090306
1011,20090309
1012,20090310
1013,20090311
1014,20090312
1015,20090313
1016,20090316
1017,20090317
1018,20090318
1019,20090319
1020,20090320
1021,20090323
1022,20090324
1023,20090325
1024,20090326
1025,20090327
1026,20090330
1027,20090331
1028,20090401
1029,20090402
1030,20090403
1031,20090407
1032,20090408
1033,20090409
1034,20090410
1035,20090413
1036,20090414
1037,20090415
1038,20090416
1039,20090417
1040,20090420
1041,20090421
1042,20090422
1043,20090423
1044,20090424
1045,20090427
1046,20090428
1047,20090429
1048,20090430
1049,20090504
1050,20090505
1051,20090506
1052,20090507
1053,20090508
1054,20090511
1055,20090512
1056,20090513
1057,20090514
1058,20090515
1059,20090518
1060,20090519
1061,20090520
1062,20090521
1063,20090522
1064,20090525
1065,20090526
1066,20090527
1067,20090601
1068,20090602
1069,20090603
1070,20090604
1071,20090605
1072,20090608
1073,20090609
1074,20090610
1075,20090611
1076,20090612
1077,20090615
1078,20090616
1079,20090617
1080,20090618
1081,20090619
1082,20090622
1083,20090623
1084,20090624
1085,20090625
1086,20090626
1087,20090629
1088,20090630
1089,20090701
1090,20090702
1091,20090703
1092,20090706
1093,20090707
1094,20090708
1095,20090709
1096,20090710
1097,20090713
1098,20090714
1099,20090715
1100,20090716
1101,20090717
1102,20090720
1103,20090721
1104,20090722
1105,20090723
1106,20090724
1107,20090727
1108,20090728
1109,20090729
1110,20090730
1111,20090731
1112,20090803
1113,20090804
1114,20090805
1115,20090806
1116,20090807
1117,20090810
1118,20090811
1119,20090812
1120,20090813
1121,20090814
1122,20090817
1123,20090818
1124,20090819
1125,20090820
1126,20090821
1127,20090824
1128,20090825
1129,20090826
1130,20090827
1131,20090828
1132,20090831
1133,20090901
1134,20090902
1135,20090903
1136,20090904
1137,20090907
1138,20090908
1139,20090909
1140,20090910
1141,20090911
1142,20090914
1143,20090915
1144,20090916
1145,20090917
1146,20090918
1147,20090921
1148,20090922
1149,20090923
1150,20090924
1151,20090925
1152,20090928
1153,20090929
1154,20090930
1155,20091009
1156,20091012
1157,20091013
1158,20091014
1159,20091015
1160,20091016
1161,20091019
1162,20091020
1163,20091021
1164,20091022
1165,20091023
1166,20091026
1167,20091027
1168,20091028
1169,20091029
1170,20091030
1171,20091102
1172,20091103
1173,20091104
