,ANN_DT,REPORT_PERIOD,IFLISTED_DATA,OPER_REV,NET_PROFIT_INCL_MIN_INT_INC,NET_PROFIT_EXCL_MIN_INT_INC,TOT_SHRHLDR_EQY_EXCL_MIN_INT,TOT_SHRHLDR_EQY_INCL_MIN_INT,S_INFO_COMPNAME,S_INFO_COMPCODE,OPDATE,OPMODE,code
1566,20150410,20150331,1,489313896.08,242817830.97,242817830.97,6984924012.02,6984924012.02,国海证券股份有限公司,1000750,2015-09-16 17:43:16,0,000750.SZ
1570,20150410,20150331,1,442902200.0,182193500.0,182193500.0,17567938909.4,17567938909.4,国元证券股份有限公司,1000728,2015-09-16 17:42:22,0,000728.SZ
1571,20150410,20150331,1,1719463400.0,949801900.0,949801900.0,30055096377.1,30055096377.1,东方证券股份有限公司,2002156,2015-09-16 17:43:15,0,600958.SH
1572,20150410,20150331,1,450984100.0,195702900.0,195702900.0,14550280758.6,14550280758.6,东吴证券股份有限公司,2024609,2015-09-16 17:43:21,0,601555.SH
1573,20150410,20150331,1,2018378278.65,889234243.13,889234243.13,36261753631.4,36261753631.4,华泰证券股份有限公司,2002077,2015-09-16 17:44:07,0,601688.SH
1574,20150410,20150331,1,526404500.0,306701800.0,306701800.0,7801184098.0,7801184098.0,山西证券股份有限公司,2002097,2015-09-16 17:42:25,0,002500.SZ
1576,20150410,20150331,1,2365990000.0,1100050000.0,1100050000.0,81646467056.2,81646467056.2,中信证券股份有限公司,08D39EC855,2015-09-16 17:43:05,0,600030.SH
1579,20150410,20150331,1,2607908097.76,1238864474.56,1238864474.56,43251686596.2,43251686596.2,招商证券股份有限公司,2024359,2015-09-16 17:44:06,0,600999.SH
1582,20150411,20150331,0,2343780000.0,1012370000.0,1012370000.0,38730820000.0,38730820000.0,申万宏源证券有限公司,a1pXByJ0HN,2015-09-16 17:42:21,0,000166.SZ
1585,20150508,20150430,1,3072904500.0,1495223100.0,1495223100.0,70189464700.0,70189464700.0,海通证券股份有限公司,1600837,2015-09-16 17:42:28,0,600837.SH
1586,20150508,20150430,1,680365300.0,368050000.0,368050000.0,6881870600.0,6881870600.0,太平洋证券股份有限公司,04955EEF73,2015-09-16 17:43:22,0,601099.SH
1588,20150508,20150430,1,4677730000.0,2447030000.0,2447030000.0,83371670000.0,83371670000.0,中信证券股份有限公司,08D39EC855,2015-09-16 17:43:57,0,600030.SH
1592,20150508,20150430,0,2763330000.0,1143970000.0,1143970000.0,39998970000.0,39998970000.0,申万宏源证券有限公司,a1pXByJ0HN,2015-09-16 17:42:30,0,000166.SZ
1593,20150508,20150430,1,766941500.0,377159700.0,377159700.0,15147069100.0,15147069100.0,东吴证券股份有限公司,2024609,2015-09-16 17:42:33,0,601555.SH
1595,20150508,20150430,1,1035981100.0,627900100.0,627900100.0,31516099100.0,31516099100.0,方正证券股份有限公司,2002179,2015-09-16 17:42:33,0,601901.SH
1597,20150508,20150430,1,1298198500.0,600624400.0,600624400.0,15346956700.0,15346956700.0,兴业证券股份有限公司,2023060,2015-09-16 17:42:34,0,601377.SH
1599,20150508,20150430,1,2171957090.69,933392309.79,933392309.79,37245131305.8,37245131305.8,华泰证券股份有限公司,2002077,2015-09-16 17:42:40,0,601688.SH
1601,20150508,20150430,1,690226900.0,373445900.0,373445900.0,11194417500.0,11194417500.0,西部证券股份有限公司,502030478,2015-09-16 17:42:36,0,002673.SZ
1602,20150508,20150430,1,3738455700.0,1914131700.0,1914131700.0,37435372700.0,37435372700.0,国信证券股份有限公司,2002075,2015-09-16 17:42:59,0,002736.SZ
1604,20150508,20150430,1,3555098937.01,1661780200.73,1661780200.73,66104510042.0,66104510042.0,广发证券股份有限公司,1000776,2015-09-16 17:43:37,0,000776.SZ
1605,20150508,20150430,1,529809903.1,273166994.83,273166994.83,6915678139.59,6915678139.59,国海证券股份有限公司,1000750,2015-09-16 17:43:52,0,000750.SZ
1606,20150508,20150430,1,462500400.0,295237400.0,295237400.0,8095768700.0,8095768700.0,山西证券股份有限公司,2002097,2015-09-16 17:43:06,0,002500.SZ
1608,20150508,20150430,1,3030259184.86,1322100819.41,1322100819.41,44558917692.3,44558917692.3,招商证券股份有限公司,2024359,2015-09-16 17:43:19,0,600999.SH
